CD_MUN,Hierarquia_REGIC
3130051,Centro Local
3130200,Centro Local
3130309,Centro Local
3130507,Centro Local
3130556,Centro Local
3130606,Centro Local
3130655,Centro Local
3130705,Centro Local
3130804,Centro Local
3130903,Centro de Zona
3131208,Centro de Zona
3131307,Capital Regional
3131406,Centro Local
3131505,Centro Local
3131604,Centro Local
3131703,Centro Subregional
3131802,Centro de Zona
3131901,Centro Local
3132008,Centro Local
3132107,Centro Local
3132206,Centro Local
3132305,Centro Local
3132404,Centro Subregional
3132503,Centro de Zona
3132602,Centro Local
3132701,Centro Local
3132800,Centro Local
3132909,Centro Local
3133006,Centro Local
3133105,Centro Local
3133204,Centro Local
3133303,Centro de Zona
3133402,Centro Local
3133501,Centro de Zona
3133600,Centro Local
3133758,Centro Local
3133808,Centro Subregional
3133907,Centro Local
3134004,Centro Local
3134103,Centro Local
3134202,Centro Subregional
3134400,Centro Subregional
3134509,Centro Local
3134608,Centro Local
3134707,Centro Local
3134806,Centro Local
3134905,Centro Local
3135050,Centro Local
3135076,Centro Local
3135100,Centro Subregional
3135209,Centro Subregional
3135357,Centro Local
3135456,Centro Local
3135506,Centro Local
3135605,Centro Local
3135704,Centro Local
3135803,Centro de Zona
3135902,Centro Local
3136009,Centro Local
3136108,Centro Local
3136207,Centro Subregional
3136306,Centro de Zona
3136405,Centro Local
3136504,Centro Local
3136520,Centro Local
3136553,Centro Local
3136579,Centro Local
3136603,Centro Local
3136702,Capital Regional
3136801,Centro Local
3136900,Centro Local
3136959,Centro Local
3137007,Centro Local
3137106,Centro Local
3137205,Centro de Zona
3137304,Centro Local
3137403,Centro Local
3137502,Centro Local
3137536,Centro Local
3137700,Centro Local
3137809,Centro de Zona
3137908,Centro Local
3138005,Centro Local
3138104,Centro Local
3138203,Centro Subregional
3138351,Centro Local
3138401,Centro de Zona
3138500,Centro Local
3138609,Centro Local
3138625,Centro Local
3138658,Centro Local
3138674,Centro Local
3138682,Centro Local
3138708,Centro Local
3138807,Centro de Zona
3138906,Centro Local
3139003,Centro de Zona
3139102,Centro Local
3139201,Centro de Zona
3139250,Centro Local
3139300,Centro Local
3139409,Centro Subregional
3139508,Centro Local
3139607,Centro Local
3139706,Centro Local
3139805,Centro Local
3139904,Centro Local
3140001,Centro Local
3140100,Centro Local
3140209,Centro Local
3140407,Centro Local
3140506,Centro Local
3140530,Centro Local
3140555,Centro Local
3140605,Centro Local
3140704,Centro Local
3140852,Centro Local
3140902,Centro Local
3141009,Centro de Zona
3141108,Centro Local
3141207,Centro Local
3141306,Centro Local
3141405,Centro de Zona
3141504,Centro Local
3141603,Centro Local
3141702,Centro Local
3141801,Centro de Zona
3141900,Centro Local
3142007,Centro Local
3142106,Centro Local
3142205,Centro Local
3142254,Centro Local
3142304,Centro Local
3142403,Centro Local
3142502,Centro Local
3142601,Centro Local
3142700,Centro de Zona
3142809,Centro Local
3142908,Centro de Zona
3143005,Centro Local
3143104,Centro Subregional
3143153,Centro Local
3143203,Centro Local
3143302,Capital Regional
3143401,Centro Local
3143450,Centro Local
3143500,Centro Local
3143609,Centro Local
3143708,Centro Local
3143807,Centro Local
3143906,Centro Subregional
3144003,Centro Local
3144102,Centro Local
3144201,Centro Local
3144300,Centro de Zona
3144375,Centro Local
3144409,Centro Local
3144508,Centro Local
3144607,Centro Local
3144656,Centro Local
3144672,Centro Local
3144706,Centro Local
3144904,Centro Local
3145000,Centro Local
3145109,Centro Local
3145208,Centro Subregional
3145307,Centro Local
3145356,Centro Local
3145372,Centro Local
3145406,Centro Local
3145455,Centro Local
3145505,Centro Local
3145604,Centro Subregional
3145703,Centro Local
3145802,Centro Local
3145877,Centro Local
3146008,Centro de Zona
3146107,Centro Subregional
3146206,Centro Local
3146255,Centro Local
3146305,Centro de Zona
3146404,Centro Local
3146503,Centro Local
3146552,Centro Local
3146602,Centro Local
3146701,Centro Local
3146750,Centro Local
3146909,Centro Local
3147006,Centro Subregional
3147105,Centro Subregional
3147204,Centro Local
3147303,Centro de Zona
3147402,Centro Local
3147501,Centro Local
3147600,Centro Local
3147709,Centro Local
3147808,Centro Local
3147907,Centro Subregional
3147956,Centro Local
3148004,Centro Subregional
3148103,Centro Subregional
3148202,Centro Local
3148301,Centro Local
3148400,Centro Local
3148509,Centro Local
3148608,Centro de Zona
3148707,Centro de Zona
3148756,Centro Local
3148806,Centro Local
3148905,Centro Local
3149002,Centro Local
3149101,Centro Local
3149150,Centro Local
3149200,Centro Local
3149408,Centro Local
3149507,Centro Local
3149606,Centro Local
3149705,Centro Local
3149804,Centro Local
3149903,Centro Local
3149952,Centro Local
3150000,Centro Local
3150109,Centro Local
3150158,Centro Local
3150208,Centro Local
3150307,Centro Local
3150406,Centro Local
3150505,Centro Local
3150539,Centro Local
3150570,Centro Local
3150604,Centro Local
3150703,Centro Local
3150802,Centro Local
3151206,Centro Subregional
3151305,Centro Local
3151404,Centro Local
3151503,Centro de Zona
3151602,Centro Local
3151701,Centro Local
3151800,Capital Regional
3151909,Centro Local
3152006,Centro Local
3152105,Centro Subregional
3152131,Centro Local
3152170,Centro Local
3152204,Centro de Zona
3152303,Centro Local
3152402,Centro Local
3152501,Capital Regional
3152600,Centro Local
3152709,Centro Local
3152808,Centro Local
3152907,Centro Local
3153004,Centro Local
3153103,Centro Local
3153202,Centro Local
3153301,Centro Local
3153400,Centro Local
3153509,Centro Local
3153707,Centro Local
3154002,Centro Local
3154101,Centro Local
3154150,Centro Local
3154200,Centro Local
3154309,Centro de Zona
3154408,Centro Local
3154457,Centro Local
3154507,Centro Local
3154903,Centro Local
3155009,Centro Local
3155108,Centro Local
3155207,Centro Local
3155306,Centro Local
3155405,Centro Local
3155504,Centro Local
3155603,Centro Local
3155702,Centro Local
3155801,Centro de Zona
3156007,Centro Local
3156106,Centro Local
3156205,Centro Local
3156403,Centro Local
3156452,Centro Local
3156502,Centro Local
3156601,Centro Local
3156809,Centro Local
3156908,Centro Local
3157005,Centro de Zona
3157104,Centro Local
3157203,Centro Local
3157252,Centro Local
3157278,Centro Local
3157302,Centro Local
3157377,Centro Local
3157401,Centro Local
3157500,Centro Local
3157609,Centro Local
3157658,Centro Local
3157708,Centro Local
3157906,Centro Local
3158003,Centro Local
3158102,Centro Local
3158201,Centro de Zona
3158300,Centro Local
3158409,Centro Local
3158508,Centro Local
3158706,Centro Local
3158805,Centro Local
3158904,Centro Local
3159001,Centro Local
3159100,Centro Local
3159209,Centro Local
3159308,Centro Local
3159357,Centro Local
3159407,Centro Local
3159506,Centro Local
3159605,Centro Subregional
3159704,Centro Local
3159803,Centro Local
3159902,Centro Local
3160009,Centro Local
3160108,Centro Local
3160207,Centro Local
3160306,Centro Local
3160405,Centro Local
3160454,Centro Local
3160504,Centro Local
3160603,Centro Local
3160702,Centro Local
3160801,Centro Local
3160959,Centro Local
3161007,Centro Local
3161056,Centro Local
3161106,Centro de Zona
3161205,Centro Local
3161304,Centro Local
3161403,Centro Local
3161502,Centro Local
3161601,Centro Local
3161650,Centro Local
3161700,Centro Local
3161809,Centro Local
3161908,Centro Local
3162005,Centro Local
3162104,Centro de Zona
3162203,Centro Local
3162252,Centro Local
3162302,Centro Local
3162401,Centro Local
3162450,Centro Local
3162500,Centro Subregional
3162559,Centro Local
3162575,Centro Local
3162609,Centro Local
3162658,Centro Local
3162708,Centro de Zona
3162807,Centro de Zona
3162906,Centro Local
3162948,Centro Local
3163003,Centro Local
3163102,Centro Local
3163300,Centro Local
3163409,Centro Local
3163508,Centro Local
3163607,Centro Local
3163706,Centro Subregional
3163805,Centro Local
3163904,Centro Local
3164001,Centro Local
3164100,Centro Local
3164209,Centro Local
3164308,Centro Local
3164407,Centro Local
3164431,Centro Local
3164472,Centro Local
3164506,Centro Local
3164605,Centro Local
3164704,Centro Subregional
3164803,Centro Local
3165008,Centro Local
3165107,Centro Local
3165206,Centro Local
3165305,Centro Local
3165404,Centro Local
3165503,Centro Local
3165552,Centro Local
3165560,Centro Local
3165578,Centro Local
3165602,Centro Local
3165701,Centro Local
3165800,Centro Local
3165909,Centro Local
3166006,Centro Local
3166105,Centro Local
3166204,Centro Local
3166303,Centro Local
3166501,Centro Local
3166600,Centro Local
3166709,Centro Local
3166808,Centro Local
3166907,Centro Local
3166956,Centro Local
3167004,Centro Local
3167103,Centro de Zona
3167202,Capital Regional
3167301,Centro Local
3167400,Centro Local
3167608,Centro Local
3167707,Centro Local
3167905,Centro Local
3168002,Centro de Zona
3168051,Centro Local
3168200,Centro Local
3168309,Centro Local
3168408,Centro Local
3168507,Centro Local
3168606,Capital Regional
3168903,Centro Local
3169000,Centro Local
3169059,Centro Local
3169109,Centro Local
3169208,Centro Local
3169307,Centro Subregional
3169356,Centro Local
3169406,Centro de Zona
3169505,Centro Local
3169604,Centro Local
3169703,Centro de Zona
3169802,Centro Local
3169901,Centro Subregional
3170008,Centro Local
3170057,Centro Local
3170107,Capital Regional
3170206,Capital Regional
3170305,Centro Local
3170404,Centro Subregional
3170438,Centro Local
3170479,Centro Local
3170503,Centro Local
3170529,Centro Local
3170578,Centro Local
3170602,Centro Local
3170651,Centro Local
3170701,Capital Regional
3170750,Centro Local
3170800,Centro de Zona
3170909,Centro de Zona
3171006,Centro Local
3171030,Centro Local
3171071,Centro Local
3171105,Centro Local
3171154,Centro Local
3171303,Centro Subregional
3171402,Centro Local
3171501,Centro Local
3171600,Centro Local
3171709,Centro Local
3171808,Centro de Zona
3171907,Centro Local
3172004,Centro de Zona
3172103,Centro Local
3200102,Centro de Zona
3200136,Centro Local
3200169,Centro Local
3200201,Centro Local
3200300,Centro Local
3200359,Centro Local
3200409,Centro Local
3200508,Centro Local
3200607,Centro Subregional
3200706,Centro Local
3200805,Centro de Zona
3200904,Centro de Zona
3201001,Centro Local
3201159,Centro Local
3201209,Capital Regional
3201407,Centro Local
3201506,Centro Subregional
3201605,Centro Local
3201704,Centro Local
3201803,Centro Local
3201902,Centro Local
3202009,Centro Local
3202108,Centro Local
3202256,Centro Local
3202306,Centro de Zona
3202405,Centro Subregional
3202454,Centro Local
3202504,Centro Local
3202553,Centro Local
3202603,Centro Local
3202652,Centro Local
3202702,Centro Local
3202801,Centro Local
3202900,Centro Local
3203007,Centro de Zona
3203056,Centro Local
3203106,Centro Local
3203130,Centro Local
3203163,Centro Local
3203205,Centro Subregional
3203304,Centro Local
3203320,Centro Local
3203346,Centro Local
3203353,Centro Local
3203403,Centro Local
3203502,Centro de Zona
3203700,Centro Local
3203809,Centro Local
3203908,Centro Subregional
3204005,Centro Local
3204054,Centro Local
3204104,Centro Local
3204203,Centro Local
3204252,Centro Local
3204302,Centro Local
3204351,Centro Local
3204401,Centro Local
3204500,Centro Local
3204559,Centro Local
3204609,Centro Local
3204658,Centro Local
3204708,Centro Local
3204807,Centro Local
3204906,Centro Subregional
3204955,Centro Local
3205010,Centro Local
3205036,Centro Local
3205069,Centro Local
3205150,Centro Local
3205176,Centro Local
3205309,Metrópole
3300100,Centro Subregional
3300209,Centro Subregional
3300308,Centro Subregional
3300506,Centro Local
3300605,Centro de Zona
3300704,Capital Regional
3300803,Centro Local
3300902,Centro Local
3301009,Capital Regional
3301157,Centro Local
3301207,Centro Local
3301504,Centro Local
3301603,Centro Local
3302056,Centro Local
3302106,Centro de Zona
3302205,Centro Subregional
3302304,Centro Local
3302403,Capital Regional
3302452,Centro Local
3302809,Centro Local
3303005,Centro Local
3303104,Centro Local
3303401,Centro Subregional
3303807,Centro Local
3303856,Centro Local
3303906,Capital Regional
3304003,Centro Local
3304102,Centro Local
3304151,Centro Local
3304201,Centro Subregional
3304300,Centro Subregional
3304409,Centro Local
3304508,Centro Local
3304557,Metrópole
3304607,Centro Local
3304706,Centro Subregional
3304755,Centro Local
3304805,Centro Local
3305133,Centro Local
3305158,Centro Local
3305307,Centro Local
3305604,Centro Local
3305703,Centro Local
3305802,Centro Subregional
3305901,Centro Local
3306008,Centro Subregional
3306107,Centro de Zona
3306156,Centro Local
3306206,Centro Local
3306305,Capital Regional
3500105,Centro Subregional
3500204,Centro Local
3500303,Centro Local
3500501,Centro Local
3500550,Centro Local
3500709,Centro de Zona
3500907,Centro Local
3501004,Centro Local
3501103,Centro Local
3501400,Centro Local
3501509,Centro Local
3501608,Capital Regional
3501806,Centro Local
3501905,Centro Subregional
3502002,Centro Local
3502101,Centro Subregional
3502200,Centro Local
3502309,Centro Local
3502606,Centro Local
3502705,Centro de Zona
3502754,Centro Local
3502804,Capital Regional
3503109,Centro Local
3503158,Centro Local
3503208,Capital Regional
3503307,Centro Subregional
3503406,Centro Local
3503505,Centro Local
3503604,Centro Local
3503802,Centro Local
3503950,Centro Local
3504008,Centro Subregional
3504107,Centro Subregional
3504206,Centro de Zona
3504305,Centro Local
3504404,Centro Local
3504503,Centro Subregional
3504909,Centro Local
3505005,Centro Local
3505104,Centro Local
3505203,Centro de Zona
3505302,Centro Local
3505351,Centro Local
3505401,Centro Local
3505500,Capital Regional
3505609,Centro Local
3505807,Centro Local
3505906,Centro de Zona
3506003,Capital Regional
3506102,Centro Subregional
3506300,Centro Local
3506359,Centro Local
3506409,Centro Local
3506508,Centro Subregional
3506706,Centro Local
3506805,Centro Local
3506904,Centro Local
3507001,Centro de Zona
3507159,Centro Local
3507308,Centro Local
3507407,Centro Local
3507456,Centro Local
